"","site","topography","plot","year","season","tree","canopyPosition","treatment","genus","specie","C","N","CN","CP","NP","P"
"358","Paracou","Top","3","2019","Dry","132","Down","P","Chrysophyllum","poniferum",48.957,1.226,39.936,1134.874,28.417,0.043
"359","Paracou","Top","3","2019","Wet","135","Top","P","Vouacapoua","americana",53.992,1.82,29.664,575.128,19.388,0.094
"360","Paracou","Top","3","2019","Wet","135","Down","P","Vouacapoua","americana",53.571,2.227,24.06,488.134,20.288,0.11
"361","Paracou","Top","3","2019","Dry","135","Top","P","Vouacapoua","americana",51.978,1.839,28.264,684.452,24.216,0.076
"362","Paracou","Top","3","2019","Dry","135","Down","P","Vouacapoua","americana",51.065,1.791,28.517,551.661,19.345,0.093
"363","Nouragues","Slope","4","2019","Dry","140","Top","C","Chrysophyllum","sanguinolentum",49.643,1.179,42.109,902.386,21.43,0.055
"364","Nouragues","Slope","4","2019","Dry","140","Down","C","Chrysophyllum","sanguinolentum",48.942,1.075,45.51,1070.617,23.525,0.046
"365","Nouragues","Slope","4","2019","Wet","140","Top","C","Chrysophyllum","sanguinolentum",49.702,1.258,39.504,1183.123,29.949,0.042
"366","Nouragues","Slope","4","2019","Wet","140","Down","C","Chrysophyllum","sanguinolentum",50.07,1.271,39.407,1189.85,30.194,0.042
"367","Paracou","Slope","4","2019","Dry","142","Top","C","Drypetes","variabilis",46.047,1.254,36.708,740.732,20.179,0.062
"368","Paracou","Slope","4","2019","Dry","142","Down","C","Drypetes","variabilis",44.651,1.254,35.605,783.65,22.009,0.057
"369","Paracou","Slope","4","2019","Wet","142","Top","C","Drypetes","variabilis",47.724,1.488,32.068,552.483,17.228,0.086
"370","Paracou","Slope","4","2019","Wet","142","Down","C","Drypetes","variabilis",47.134,1.205,39.121,527.545,13.485,0.089
"371","Paracou","Slope","4","2019","Dry","143","Top","C","Tapura","capitulifera",36.524,0.945,38.666,1111.455,28.745,0.033
"372","Paracou","Slope","4","2019","Dry","143","Down","C","Tapura","capitulifera",36.585,1.012,36.147,1146.994,31.731,0.032
"373","Paracou","Slope","4","2019","Wet","143","Top","C","Tapura","capitulifera",41.469,1.074,38.624,1072.224,27.76,0.039
"374","Paracou","Slope","4","2019","Wet","143","Down","C","Tapura","capitulifera",39.522,0.969,40.797,1310.011,32.11,0.03
"375","Paracou","Slope","4","2019","Dry","145","Top","C","Eperua","grandiflora",51.101,1.132,45.146,1222.409,27.077,0.042
"376","Paracou","Slope","4","2019","Dry","145","Down","C","Eperua","grandiflora",50.38,1.081,46.591,1049.423,22.524,0.048
"377","Paracou","Slope","4","2019","Wet","145","Top","C","Eperua","grandiflora",52.659,1.116,47.186,1242.841,26.339,0.042
"378","Paracou","Slope","4","2019","Wet","145","Down","C","Eperua","grandiflora",51.701,1.122,46.072,1113.299,24.164,0.046
"379","Paracou","Slope","4","2019","Dry","147","Top","C","Eperua","falcata",50.005,1.365,36.632,803.399,21.932,0.062
"380","Paracou","Slope","4","2019","Dry","147","Down","C","Eperua","falcata",49.791,1.356,36.727,653.914,17.805,0.076
"381","Paracou","Slope","4","2019","Wet","147","Top","C","Eperua","falcata",51.109,1.203,42.491,NA,NA,NA
"382","Paracou","Slope","4","2019","Wet","147","Down","C","Eperua","falcata",51.03,1.567,32.561,1039.303,31.919,0.049
"383","Nouragues","Bottom","4","2019","Dry","198","Top","C","Eperua","falcata",49.52,1.84,26.914,539.328,20.039,0.092
"384","Nouragues","Bottom","4","2019","Dry","198","Down","C","Eperua","falcata",49.535,1.647,30.073,705.165,23.448,0.07
"385","Nouragues","Bottom","4","2019","Wet","198","Top","C","Eperua","falcata",61.958,2.211,28.029,850.33,30.338,0.073
"386","Nouragues","Bottom","4","2019","Wet","198","Down","C","Eperua","falcata",52.005,1.644,31.63,819.136,25.898,0.063
"387","Paracou","Slope","4","2019","Dry","243","Top","C","Eperua","falcata",51.428,1.61,31.945,682.981,21.38,0.075
"388","Paracou","Slope","4","2019","Dry","243","Down","C","Eperua","falcata",50.491,1.661,30.396,661.783,21.772,0.076
"389","Paracou","Slope","4","2019","Wet","243","Top","C","Eperua","falcata",50.714,1.558,32.56,361.678,11.108,0.14
"390","Paracou","Slope","4","2019","Wet","243","Down","C","Eperua","falcata",51.022,1.455,35.068,400.218,11.413,0.127
"391","Nouragues","Bottom","4","2019","Dry","247","Top","C","Protium","opacum",48.304,0.898,53.8,1050.451,19.525,0.046
"392","Nouragues","Bottom","4","2019","Dry","247","Down","C","Protium","opacum",48.229,1.318,36.586,793.567,21.691,0.061
"393","Nouragues","Bottom","4","2019","Wet","247","Top","C","Protium","opacum",48.941,1.125,43.52,909.939,20.908,0.054
"394","Nouragues","Bottom","4","2019","Wet","247","Down","C","Protium","opacum",49.55,1.19,41.64,891.68,21.414,0.056
"395","Nouragues","Top","4","2019","Dry","249","Top","C","Licania","densiflora",46.16,1.58,29.207,1147.482,39.288,0.04
"396","Nouragues","Top","4","2019","Dry","249","Down","C","Licania","densiflora",46.66,1.724,27.062,994.304,36.741,0.047
"397","Nouragues","Top","4","2019","Wet","249","Top","C","Licania","densiflora",47.617,1.505,31.632,1117.833,35.338,0.043
"398","Nouragues","Top","4","2019","Wet","249","Down","C","Licania","densiflora",45.563,1.799,25.333,1040.07,41.056,0.044
"399","Nouragues","Top","4","2019","Dry","250","Top","C","Licania","alba",48.291,1.22,39.597,1134.098,28.641,0.043
"400","Nouragues","Top","4","2019","Dry","250","Down","C","Licania","alba",47.816,1.288,37.127,1207.613,32.527,0.04
"401","Nouragues","Top","4","2019","Wet","250","Top","C","Licania","alba",47.205,1.21,39.027,1336.942,34.257,0.035
"402","Nouragues","Top","4","2019","Wet","250","Down","C","Licania","alba",47.687,1.329,35.874,1030.407,28.723,0.046
"403","Nouragues","Bottom","4","2019","Dry","253","Top","C","Paloue","guianensis",51.203,2.611,19.61,845.039,43.093,0.061
"404","Nouragues","Bottom","4","2019","Dry","253","Down","C","Paloue","guianensis",50.467,2.367,21.324,928.76,43.555,0.054
"405","Nouragues","Bottom","4","2019","Wet","253","Top","C","Paloue","guianensis",51.104,2.557,19.984,788.036,39.432,0.065
"406","Nouragues","Bottom","4","2019","Wet","253","Down","C","Paloue","guianensis",NA,NA,NA,0,0,0.051
"407","Nouragues","Top","4","2019","Dry","298","Top","C","Pouteria","eugeniifolia",48.864,1.243,39.326,1105.773,28.118,0.044
"408","Nouragues","Top","4","2019","Dry","298","Down","C","Pouteria","eugeniifolia",NA,NA,NA,NA,NA,NA
"409","Nouragues","Top","4","2019","Wet","298","Top","C","Pouteria","eugeniifolia",NA,NA,NA,0,0,0.043
"410","Nouragues","Top","4","2019","Wet","298","Down","C","Pouteria","eugeniifolia",NA,NA,NA,0,0,0.043
"411","Nouragues","Top","4","2019","Dry","299","Top","C","Sextonia","rubra",50.21,1.533,32.758,783.097,23.905,0.064
"412","Nouragues","Top","4","2019","Dry","299","Down","C","Sextonia","rubra",49.653,1.453,34.174,791.394,23.158,0.063
"413","Nouragues","Top","4","2019","Wet","299","Top","C","Sextonia","rubra",39.417,0.99,39.831,657.598,16.51,0.06
"414","Nouragues","Top","4","2019","Wet","299","Down","C","Sextonia","rubra",48.471,1.503,32.24,649.279,20.139,0.075
"415","Nouragues","Top","4","2019","Dry","300","Top","C","Lecythis","zabucajo",48.264,4.668,10.34,160.128,15.486,0.301
"416","Nouragues","Top","4","2019","Dry","300","Down","C","Lecythis","zabucajo",NA,NA,NA,NA,NA,NA
"417","Nouragues","Top","4","2019","Wet","300","Top","C","Lecythis","zabucajo",36.658,1.118,32.79,454.391,13.858,0.081
"418","Nouragues","Top","4","2019","Wet","300","Down","C","Lecythis","zabucajo",43.23,2.477,17.452,539.571,30.918,0.08
"419","Nouragues","Bottom","4","2019","Dry","305","Top","C","Pradosia","ptychandra",49.243,1.485,33.162,1077.794,32.501,0.046
"420","Nouragues","Bottom","4","2019","Dry","305","Down","C","Pradosia","ptychandra",48.653,1.437,33.851,1181.58,34.905,0.041
"421","Nouragues","Bottom","4","2019","Wet","305","Top","C","Pradosia","ptychandra",NA,NA,NA,0,0,0.045
"422","Nouragues","Bottom","4","2019","Wet","305","Down","C","Pradosia","ptychandra",NA,NA,NA,0,0,0.057
"423","Paracou","Top","4","2019","Wet","786","Top","C","Eperua","falcata",51.528,1.534,33.582,871.783,25.96,0.059
"424","Paracou","Top","4","2019","Wet","786","Down","C","Eperua","falcata",53.236,1.466,36.317,993.644,27.36,0.054
"425","Paracou","Top","4","2019","Dry","786","Top","C","Eperua","falcata",49.142,1.749,28.097,684.275,24.354,0.072
"426","Paracou","Top","4","2019","Dry","786","Down","C","Eperua","falcata",49.545,1.55,31.97,762.12,23.838,0.065
"427","Paracou","Top","4","2019","Wet","806","Top","C","Tapura","capitulifera",38.585,0.945,40.81,1295.928,31.755,0.03
"428","Paracou","Top","4","2019","Wet","806","Down","C","Tapura","capitulifera",55.611,1.333,41.723,2193.901,52.583,0.025
"429","Paracou","Top","4","2019","Wet","807","Top","C","Lueheopsis","rugosa",51.272,1.42,36.104,1050.336,29.092,0.049
"430","Paracou","Top","4","2019","Wet","807","Down","C","Lueheopsis","rugosa",51.302,1.417,36.204,993.484,27.441,0.052
"431","Paracou","Top","4","2019","Dry","807","Top","C","Lueheopsis","rugosa",36.434,0.947,38.492,1250.308,32.483,0.029
"432","Paracou","Top","4","2019","Dry","807","Down","C","Lueheopsis","rugosa",37.422,1.037,36.093,1229.48,34.064,0.03
"433","Paracou","Top","4","2019","Dry","807","Top","C","Lueheopsis","rugosa",52.948,1.366,38.753,1055.803,27.244,0.05
"434","Paracou","Top","4","2019","Dry","807","Down","C","Lueheopsis","rugosa",47.868,1.237,38.705,949.141,24.523,0.05
"435","Paracou","Top","4","2019","Wet","808","Top","C","Chaetocarpus","schomburgkianus",50.212,0.877,57.243,1446.029,25.261,0.035
"436","Paracou","Top","4","2019","Wet","808","Down","C","Chaetocarpus","schomburgkianus",50.554,0.948,53.31,1708.541,32.049,0.03
"437","Paracou","Top","4","2019","Dry","808","Top","C","Chaetocarpus","schomburgkianus",47.686,0.762,62.616,1528.981,24.418,0.031
"438","Paracou","Top","4","2019","Dry","808","Down","C","Chaetocarpus","schomburgkianus",45.854,0.869,52.753,1224.224,23.207,0.037
"439","Paracou","Bottom","4","2019","Dry","937","Top","C","Eperua","falcata",51.745,1.557,33.231,781.413,23.515,0.066
"440","Paracou","Bottom","4","2019","Dry","937","Down","C","Eperua","falcata",51.435,1.734,29.656,780.252,26.31,0.066
"441","Paracou","Bottom","4","2019","Wet","937","Top","C","Eperua","falcata",49.687,1.912,25.985,775.014,29.825,0.064
"442","Paracou","Bottom","4","2019","Wet","937","Down","C","Eperua","falcata",NA,NA,NA,0,0,0.043
"443","Paracou","Bottom","4","2019","Dry","938","Top","C","Symphonia","globulifera",47.548,1.259,37.766,1150.707,30.469,0.041
"444","Paracou","Bottom","4","2019","Dry","938","Down","C","Symphonia","globulifera",47.19,1.398,33.755,1034.616,30.651,0.046
"445","Paracou","Bottom","4","2019","Wet","938","Top","C","Symphonia","globulifera",NA,NA,NA,0,0,0.042
